"蔬菜,豇豆,5.5,5.9,6.3,闽琼,斤,2022-01-20 00:00:00"
"蔬菜,白不老,4.0,4.65,5.3,云,斤,2022-01-20 00:00:00"
"蔬菜,油豆,5.0,5.65,6.3,云,斤,2022-01-20 00:00:00"
"蔬菜,毛豆,4.8,4.9,5.0,粤闽,斤,2022-01-20 00:00:00"
"蔬菜,玉米,2.0,2.2,2.4,桂闽粤,斤,2022-01-20 00:00:00"
"蔬菜,花生,5.0,5.25,5.5,琼苏,斤,2022-01-20 00:00:00"
"蔬菜,苦瓜,4.0,4.25,4.5,云鲁,斤,2022-01-20 00:00:00"
"蔬菜,丝瓜,3.5,4.25,5.0,冀鲁,斤,2022-01-20 00:00:00"
"蔬菜,西葫芦,2.2,2.5,2.8,桂云鲁,斤,2022-01-20 00:00:00"
"蔬菜,佛手瓜,2.0,2.2,2.4,冀,斤,2022-01-20 00:00:00"
"蔬菜,贝贝南瓜,2.5,2.75,3.0,琼粤桂,斤,2022-01-20 00:00:00"
"蔬菜,金丝南瓜,1.8,1.9,2.0,琼粤,斤,2022-01-20 00:00:00"
"蔬菜,板栗南瓜,2.0,2.2,2.4,新琼,斤,2022-01-20 00:00:00"
"蔬菜,南北瓜,0.8,0.95,1.1,川鄂皖,斤,2022-01-20 00:00:00"
"蔬菜,尖椒,4.0,5.0,6.0,辽冀鲁蒙,斤,2022-01-20 00:00:00"
"蔬菜,红尖椒,4.0,4.5,5.0,鲁,斤,2022-01-20 00:00:00"
"蔬菜,美人椒,10.0,11.0,12.0,鲁云蒙,斤,2022-01-20 00:00:00"
"蔬菜,螺丝椒,6.0,6.25,6.5,鲁甘,斤,2022-01-20 00:00:00"
"蔬菜,柿子椒,3.5,3.75,4.0,鲁冀,斤,2022-01-20 00:00:00"
"蔬菜,线椒,4.0,5.0,6.0,鲁冀,斤,2022-01-20 00:00:00"
"蔬菜,菜花,1.0,1.5,2.0,鄂,斤,2022-01-20 00:00:00"
"蔬菜,散菜花,1.3,1.85,2.4,浙闽滇苏鲁,斤,2022-01-20 00:00:00"
"蔬菜,绿菜花,1.5,1.85,2.2,鄂苏,斤,2022-01-20 00:00:00"
"蔬菜,绿豆芽,0.95,0.98,1.0,,斤,2022-01-20 00:00:00"
"蔬菜,黄豆芽,0.85,0.88,0.9,,斤,2022-01-20 00:00:00"
"蔬菜,番茄,4.0,4.4,4.8,蒙辽,斤,2022-01-20 00:00:00"
"蔬菜,番茄,5.0,5.7,6.4,鲁蒙冀,斤,2022-01-20 00:00:00"
"蔬菜,黄瓜,4.5,5.0,5.5,鲁辽云,斤,2022-01-20 00:00:00"
"蔬菜,黄瓜,4.5,5.0,5.5,冀,斤,2022-01-20 00:00:00"
